Status do Arquivo: Final;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
23/08/2024;A1ES34Q;A1ES;A1ES;Equity Block Trading Lot;EQUITY-CASH;BDR;;;31/07/2024;31/12/9999;;;;;BRA1ESBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AES CORP;31/12/9999;FUNGIBLE;667395100;
23/08/2024;A1ES34R;A1ES;A1ES;Equity Block Trading Lot;EQUITY-CASH;BDR;;;31/07/2024;31/12/9999;;;;;BRA1ESBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AES CORP;31/12/9999;FUNGIBLE;667395100;
23/08/2024;A1FL34;A1FL;A1FL;CASH;EQUITY-CASH;BDR;;;20/08/2024;31/12/9999;;;;;BRA1FLBDR009;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN ED;AFLAC INC;31/12/9999;FUNGIBLE;712912400;
23/08/2024;A1GI34;A1GI;A1GI;CASH;EQUITY-CASH;BDR;;;01/07/2024;31/12/9999;;;;;BRA1GIBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;118;1;2;;;;DRN;AGILENT TECHNOLOGIES INC;31/12/9999;FUNGIBLE;616619200;
23/08/2024;A1GN34;A1GN;A1GN;CASH;EQUITY-CASH;BDR;;;13/06/2024;31/12/9999;;;;;BRA1GNBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;118;1;2;;;;DRN;ALLEGION PLC                  ;31/12/9999;FUNGIBLE;184466860;
23/08/2024;A1IV34;A1IV;A1IV;CASH;EQUITY-CASH;BDR;;;13/09/2022;31/12/9999;;;;;BRA1IVBDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;APARTMENT INVESTMENT & MANAGEMENT CO;31/12/9999;FUNGIBLE;145759700;
23/08/2024;A1IV34M;A1IV;A1IV;Equity Block Trading Lot;EQUITY-CASH;BDR;;;13/09/2022;31/12/9999;;;;;BRA1IVBDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;APARTMENT INVESTMENT & MANAGEMENT CO;31/12/9999;FUNGIBLE;145759700;
23/08/2024;A1IV34Q;A1IV;A1IV;Equity Block Trading Lot;EQUITY-CASH;BDR;;;13/09/2022;31/12/9999;;;;;BRA1IVBDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;APARTMENT INVESTMENT & MANAGEMENT CO;31/12/9999;FUNGIBLE;145759700;
23/08/2024;A1IV34R;A1IV;A1IV;Equity Block Trading Lot;EQUITY-CASH;BDR;;;13/09/2022;31/12/9999;;;;;BRA1IVBDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;APARTMENT INVESTMENT & MANAGEMENT CO;31/12/9999;FUNGIBLE;145759700;
23/08/2024;A1JG34;A1JG;A1JG;CASH;EQUITY-CASH;BDR;;;06/06/2024;31/12/9999;;;;;BRA1JGBDR001;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;118;1;2;;;;DRN;ARTHUR J GALLAGHER & CO;31/12/9999;FUNGIBLE;382938000;
23/08/2024;A1KA34;A1KA;A1KA;CASH;EQUITY-CASH;BDR;;;29/10/2020;31/12/9999;;;;;BRA1KABDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;AKAMAI TECHNOLOGIES INC;31/12/9999;FUNGIBLE;1930783200;
23/08/2024;A1KA34M;A1KA;A1KA;Equity Block Trading Lot;EQUITY-CASH;BDR;;;29/10/2020;31/12/9999;;;;;BRA1KABDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;AKAMAI TECHNOLOGIES INC;31/12/9999;FUNGIBLE;1930783200;
23/08/2024;A1KA34Q;A1KA;A1KA;Equity Block Trading Lot;EQUITY-CASH;BDR;;;29/10/2020;31/12/9999;;;;;BRA1KABDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;AKAMAI TECHNOLOGIES INC;31/12/9999;FUNGIBLE;1930783200;
23/08/2024;A1KA34R;A1KA;A1KA;Equity Block Trading Lot;EQUITY-CASH;BDR;;;29/10/2020;31/12/9999;;;;;BRA1KABDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;AKAMAI TECHNOLOGIES INC;31/12/9999;FUNGIBLE;1930783200;
23/08/2024;A1LB34;A1LB;A1LB;CASH;EQUITY-CASH;BDR;;;13/06/2024;31/12/9999;;;;;BRA1LBBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ALBEMARLE CORP;31/12/9999;FUNGIBLE;2820592800;
23/08/2024;A1LB34M;A1LB;A1LB;Equity Block Trading Lot;EQUITY-CASH;BDR;;;13/06/2024;31/12/9999;;;;;BRA1LBBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ALBEMARLE CORP;31/12/9999;FUNGIBLE;2820592800;
23/08/2024;A1LB34Q;A1LB;A1LB;Equity Block Trading Lot;EQUITY-CASH;BDR;;;13/06/2024;31/12/9999;;;;;BRA1LBBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ALBEMARLE CORP;31/12/9999;FUNGIBLE;2820592800;
23/08/2024;A1LB34R;A1LB;A1LB;Equity Block Trading Lot;EQUITY-CASH;BDR;;;13/06/2024;31/12/9999;;;;;BRA1LBBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ALBEMARLE CORP;31/12/9999;FUNGIBLE;2820592800;
23/08/2024;A1LG34;A1LG;A1LG;CASH;EQUITY-CASH;BDR;;;27/01/2020;31/12/9999;;;;;BRA1LGBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ALIGN TECHNOLOGY INC;31/12/9999;FUNGIBLE;312432760;
23/08/2024;A1LG34M;A1LG;A1LG;Equity Block Trading Lot;EQUITY-CASH;BDR;;;27/01/2020;31/12/9999;;;;;BRA1LGBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ALIGN TECHNOLOGY INC;31/12/9999;FUNGIBLE;312432760;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
